time,latitude,longitude,depth,mag,magType,gap,dmin,rms,id,updated,place,horizontalError,depthError,magError,magNst,event_year,event_month,event_day,event_hour
2026-09-14 05:03:12.877000+00:00,-24.1313,-66.9986,189.041,4.4,mb,77.0,2.572,0.66,us7000than,2026-09-14 06:21:54.040000+00:00,"69 km W of San Antonio de los Cobres, Argentina",3.33,13.01,0.149,13.0,2026,9,14,5
2026-09-13 19:40:25.248000+00:00,-26.1559,-66.5753,10.0,4.7,mb,54.0,3.508,0.72,us7000th7y,2026-09-13 20:22:09.040000+00:00,"60 km W of Cafayate, Argentina",6.22,1.89,0.093,35.0,2026,9,13,19
2026-09-12 11:05:46.433000+00:00,-56.2951,-26.9013,102.352,4.9,mb,67.0,5.836,0.79,us7000tgyw,2026-09-23 07:20:17.040000+00:00,South Sandwich Islands region,12.33,7.797,0.106,28.0,2026,9,12,11
2026-09-09 10:06:57.170000+00:00,-26.1386,-66.5049,10.0,5.0,mb,54.0,2.949,0.77,us7000tg12,2026-09-09 10:38:25.040000+00:00,"53 km W of Cafayate, Argentina",8.26,1.866,0.04,197.0,2026,9,9,10
2026-09-08 06:50:46.470000+00:00,-58.1213,-26.2578,128.647,5.1,mb,68.0,6.88,1.0,us7000tfs3,2026-09-08 07:06:29.040000+00:00,South Sandwich Islands region,11.46,7.127,0.066,75.0,2026,9,8,6
2026-09-08 01:24:15.300000+00:00,-24.1437,-67.1868,167.68,4.3,mb,104.0,1.495,1.62,us7000tfqh,2026-09-08 02:34:28.040000+00:00,"88 km W of San Antonio de los Cobres, Argentina",10.06,9.849,0.218,6.0,2026,9,8,1
2026-09-06 07:56:02.805000+00:00,-55.6158,-29.8127,10.0,4.5,mb,108.0,4.074,0.85,us7000tgnj,2026-09-17 08:32:13.040000+00:00,South Sandwich Islands region,9.48,1.817,0.135,16.0,2026,9,6,7
2026-09-05 11:37:12.553000+00:00,-26.1078,-66.7176,10.0,5.1,mww,84.0,2.759,1.45,us7000tej2,2026-09-06 02:37:08.864000+00:00,"69 km E of Antofagasta de la Sierra, Argentina",9.53,1.802,0.061,26.0,2026,9,5,11
2026-09-04 06:45:54.522000+00:00,-56.1536,-26.1632,10.0,5.0,mb,90.0,6.199,0.74,us7000te8r,2026-09-04 07:05:19.040000+00:00,South Sandwich Islands region,12.64,1.909,0.098,33.0,2026,9,4,6
2026-09-03 05:10:19.410000+00:00,-55.8597,-26.1421,10.0,4.5,mb,193.0,6.15,0.96,us7000tgbq,2026-09-13 06:10:23.040000+00:00,South Sandwich Islands region,15.43,1.974,0.106,26.0,2026,9,3,5
2026-09-02 23:46:56.213000+00:00,-56.0727,-27.8507,111.0,6.2,mww,46.0,5.264,1.26,us7000tdrv,2026-09-18 04:34:00.228000+00:00,South Sandwich Islands region,9.72,1.928,0.065,23.0,2026,9,2,23
2026-09-02 10:54:02.666000+00:00,-56.3968,-26.904,84.064,5.2,mb,68.0,5.864,0.61,us7000tdkr,2026-09-02 11:12:46.040000+00:00,South Sandwich Islands region,10.33,7.136,0.057,104.0,2026,9,2,10
2026-08-31 21:45:57.251000+00:00,-55.9613,-27.6228,92.793,4.6,mb,70.0,5.358,0.72,us7000td7p,2026-09-07 22:13:19.040000+00:00,South Sandwich Islands region,12.31,9.366,0.119,21.0,2026,8,31,21
2026-08-30 05:40:14.224000+00:00,-60.2509,-47.226,10.0,4.6,mb,80.0,8.337,1.28,us7000tebi,2026-09-12 10:54:10.040000+00:00,Scotia Sea,10.62,1.912,0.119,21.0,2026,8,30,5
2026-08-30 03:55:29.362000+00:00,-56.4812,-27.0785,141.951,5.0,mb,67.0,5.798,0.98,us7000tcwd,2026-09-18 02:47:58.040000+00:00,South Sandwich Islands region,11.42,6.786,0.082,47.0,2026,8,30,3
2026-08-29 07:10:55.088000+00:00,-57.4376,-25.7938,99.757,5.0,mb,68.0,6.797,0.74,us7000tcsm,2026-09-22 18:29:04.040000+00:00,South Sandwich Islands region,11.52,7.424,0.071,64.0,2026,8,29,7
2026-08-27 05:53:13.102000+00:00,-22.8057,-66.1,259.421,4.3,mb,135.0,1.923,0.69,us7000tc7m,2026-09-06 06:28:41.040000+00:00,"42 km WSW of Abra Pampa, Argentina",8.88,13.962,0.188,8.0,2026,8,27,5
2026-08-26 23:42:16.928000+00:00,-56.1896,-26.3107,35.0,4.3,mb,106.0,6.127,1.32,us7000tdmf,2026-09-13 03:36:21.040000+00:00,South Sandwich Islands region,13.09,1.954,0.133,16.0,2026,8,26,23
2026-08-26 11:38:14.630000+00:00,-58.2536,-65.6117,10.0,4.6,mb,142.0,3.512,0.49,us7000tbyh,2026-09-15 13:13:18.040000+00:00,Drake Passage,10.28,1.925,0.105,27.0,2026,8,26,11
2026-08-24 14:46:19.405000+00:00,-60.2616,-47.4378,10.0,4.4,mb,88.0,8.424,1.04,us7000tcmc,2026-09-03 14:44:53.040000+00:00,Scotia Sea,8.83,1.902,0.219,6.0,2026,8,24,14
2026-08-24 05:04:03.782000+00:00,-28.173,-67.1539,125.904,4.6,mb,65.0,3.228,0.57,us6000tn29,2026-09-17 12:39:14.040000+00:00,"42 km ESE of Tinogasta, Argentina",8.88,7.261,0.04,189.0,2026,8,24,5
2026-08-23 22:58:07.869000+00:00,-24.082,-66.7074,181.834,4.2,mb,118.0,6.005,0.96,us6000tn15,2026-09-16 22:33:49.040000+00:00,"42 km WNW of San Antonio de los Cobres, Argentina",9.93,8.218,0.14,14.0,2026,8,23,22
2026-08-23 17:56:30.362000+00:00,-23.0699,-66.4169,223.201,4.5,mb,90.0,1.628,0.74,us6000tmzy,2026-09-04 15:52:02.040000+00:00,"77 km WNW of El Aguilar, Argentina",8.21,7.469,0.093,34.0,2026,8,23,17
2026-08-23 17:23:29.488000+00:00,-58.7568,-25.2117,35.0,4.9,mb,69.0,7.676,0.83,us6000tmzw,2026-09-04 15:49:22.040000+00:00,South Sandwich Islands region,11.23,1.925,0.07,65.0,2026,8,23,17
2026-08-23 04:23:47.597000+00:00,-60.2591,-47.2337,10.0,4.6,mb,80.0,8.346,1.32,us7000tcky,2026-09-13 00:03:26.040000+00:00,Scotia Sea,7.13,1.917,0.141,15.0,2026,8,23,4
2026-08-23 04:19:45.177000+00:00,-60.2801,-47.3868,10.0,4.6,mb,85.0,8.417,1.07,us7000tckx,2026-09-12 23:54:57.040000+00:00,Scotia Sea,11.04,1.912,0.129,18.0,2026,8,23,4
2026-08-22 08:22:37.923000+00:00,-60.3164,-47.5585,10.0,6.2,mww,55.0,8.506,0.81,us6000tmrw,2026-09-15 12:32:25.146000+00:00,Scotia Sea,7.89,1.821,0.055,32.0,2026,8,22,8
2026-08-22 07:40:12.636000+00:00,-60.2879,-47.266,10.0,5.7,mww,69.0,8.377,1.26,us6000tmrn,2026-09-15 12:10:47.186000+00:00,Scotia Sea,9.0,1.861,0.045,48.0,2026,8,22,7
2026-08-22 00:03:40.736000+00:00,-22.5639,-66.319,249.314,4.4,mb,83.0,1.76,1.01,us6000tmpu,2026-09-14 02:23:19.040000+00:00,"66 km WNW of Abra Pampa, Argentina",9.23,12.684,0.268,4.0,2026,8,22,0
2026-08-20 20:35:00.468000+00:00,-24.3084,-67.275,199.906,4.4,mb,71.0,1.584,0.5,us6000tma1,2026-09-02 18:40:05.040000+00:00,"97 km W of San Antonio de los Cobres, Argentina",5.16,14.483,0.24,5.0,2026,8,20,20
2026-08-20 03:09:06.589000+00:00,-24.3196,-67.1118,163.371,4.7,mb,48.0,1.676,0.89,us6000tm1m,2026-09-09 05:42:19.040000+00:00,"81 km W of San Antonio de los Cobres, Argentina",5.88,6.13,0.055,101.0,2026,8,20,3
2026-08-17 12:03:57.775000+00:00,-55.8741,-26.9976,60.81,4.4,mb,67.0,5.68,0.6,us6000tmkc,2026-09-20 12:37:26.040000+00:00,South Sandwich Islands region,10.28,8.087,0.134,16.0,2026,8,17,12
2026-08-17 02:21:23.639000+00:00,-31.2034,-68.4584,107.796,4.4,mb,77.0,0.387,1.08,usd0015eba,2026-09-06 05:12:19.040000+00:00,"25 km N of San Martín, Argentina",7.04,3.103,0.219,6.0,2026,8,17,2
2026-08-16 21:06:07.026000+00:00,-24.352,-67.284,174.627,4.5,mb,61.0,1.617,0.92,usd0015ea6,2026-08-23 23:14:40.040000+00:00,"99 km W of San Antonio de los Cobres, Argentina",9.09,5.474,0.062,76.0,2026,8,16,21
2026-08-16 16:40:37.881000+00:00,-23.8787,-66.6232,200.516,4.6,mb,54.0,1.701,1.06,usd0015e8s,2026-09-10 15:04:30.040000+00:00,"48 km NW of San Antonio de los Cobres, Argentina",7.97,7.14,0.051,117.0,2026,8,16,16
2026-08-16 07:49:57.121000+00:00,-57.4792,-26.1149,101.559,4.3,mb,99.0,6.655,0.91,us6000tmgt,2026-09-10 08:48:39.040000+00:00,South Sandwich Islands region,13.1,5.751,0.113,22.0,2026,8,16,7
2026-08-13 05:14:11.920000+00:00,-55.8521,-26.9773,44.252,4.3,mb,192.0,5.686,0.84,us6000tlnc,2026-08-20 07:15:40.040000+00:00,South Sandwich Islands region,15.56,11.659,0.137,15.0,2026,8,13,5
2026-08-12 11:49:42.338000+00:00,-60.292,-28.9014,12.999,5.3,mb,67.0,16.664,0.71,us6000tl9v,2026-09-04 12:38:35.040000+00:00,South Sandwich Islands region,12.35,4.154,0.086,45.0,2026,8,12,11
2026-08-12 11:47:12.188000+00:00,-60.2463,-29.03,10.0,6.0,mww,67.0,7.213,0.41,us6000tk74,2026-09-14 18:38:20.040000+00:00,South Sandwich Islands region,10.11,1.874,0.071,19.0,2026,8,12,11
2026-08-08 12:44:22.813000+00:00,-24.3442,-67.0608,165.5,4.5,mb,90.0,1.724,0.69,us6000tj96,2026-08-13 08:37:43.040000+00:00,"76 km W of San Antonio de los Cobres, Argentina",8.14,8.156,0.145,14.0,2026,8,8,12
2026-08-08 06:06:42.603000+00:00,-24.2997,-67.4932,190.53,4.4,mb,85.0,1.482,0.62,us6000tj73,2026-09-18 11:33:37.040000+00:00,"119 km W of San Antonio de los Cobres, Argentina",7.65,7.983,0.138,15.0,2026,8,8,6
2026-08-07 00:00:38.691000+00:00,-33.1516,-68.8411,10.0,4.5,mb,105.0,1.112,1.34,us6000tits,2026-09-14 18:16:56.040000+00:00,"28 km S of Mendoza, Argentina",2.91,1.904,0.145,15.0,2026,8,7,0
2026-08-06 04:23:47.200000+00:00,-24.1797,-67.1968,194.602,4.1,mb,89.0,1.518,0.83,us6000tihr,2026-09-01 22:31:02.040000+00:00,"89 km W of San Antonio de los Cobres, Argentina",9.96,14.712,0.235,5.0,2026,8,6,4
2026-08-06 02:21:57.264000+00:00,-59.5736,-26.1236,48.873,4.4,mb,201.0,28.847,0.59,us6000tjy1,2026-08-31 22:13:56.040000+00:00,South Sandwich Islands region,21.09,11.224,0.134,16.0,2026,8,6,2
2026-08-05 16:12:52.514000+00:00,-59.7277,-26.8268,138.424,4.3,mb,104.0,7.584,0.51,us6000tjpg,2026-08-23 17:49:36.040000+00:00,South Sandwich Islands region,13.79,8.495,0.119,20.0,2026,8,5,16
2026-08-04 23:08:00.905000+00:00,-55.685,-26.8178,10.0,4.7,mb,67.0,5.742,0.74,us6000ti5m,2026-08-18 00:30:23.040000+00:00,South Sandwich Islands region,7.84,1.785,0.079,48.0,2026,8,4,23
2026-08-04 02:28:42.201000+00:00,-58.9198,-25.596,35.0,4.5,mb,89.0,19.696,0.9,us6000thwz,2026-08-27 02:32:34.040000+00:00,South Sandwich Islands region,13.9,1.937,0.101,29.0,2026,8,4,2
2026-08-03 10:55:35.834000+00:00,-24.4391,-67.0912,163.541,4.4,mb,103.0,1.785,1.14,us6000thrb,2026-09-10 14:22:01.040000+00:00,"82 km WSW of San Antonio de los Cobres, Argentina",9.08,10.764,0.179,9.0,2026,8,3,10
2026-08-02 22:07:05.204000+00:00,-31.3576,-69.2412,116.929,4.1,mb,66.0,0.522,0.8,us6000thnw,2026-08-13 23:28:07.040000+00:00,"17 km E of Calingasta, Argentina",5.88,5.876,0.158,11.0,2026,8,2,22
2026-08-02 20:53:30.262000+00:00,-27.7343,-67.6577,140.357,4.3,mb,130.0,2.424,0.61,us6000thng,2026-08-15 17:00:03.040000+00:00,"7 km SSW of Fiambalá, Argentina",7.96,11.043,0.178,9.0,2026,8,2,20
2026-08-02 08:49:52.218000+00:00,-24.2872,-67.1048,167.674,4.5,mb,94.0,1.654,1.13,us6000thl6,2026-08-12 08:16:47.040000+00:00,"80 km W of San Antonio de los Cobres, Argentina",10.38,9.351,0.131,17.0,2026,8,2,8
2026-08-01 00:39:22.320000+00:00,-57.2936,-25.5238,35.0,4.5,mb,114.0,19.591,0.98,us6000tile,2026-09-04 01:58:14.040000+00:00,South Sandwich Islands region,10.58,1.895,0.124,19.0,2026,8,1,0
2026-07-31 18:58:08.689000+00:00,-58.6503,-25.2107,35.0,5.2,mb,44.0,7.622,0.63,us6000thb5,2026-08-14 16:31:35.040000+00:00,South Sandwich Islands region,10.11,1.798,0.106,30.0,2026,7,31,18
2026-07-30 20:48:38.442000+00:00,-24.2532,-67.2133,168.438,3.9,mb,111.0,1.569,1.07,us6000th36,2026-09-02 16:43:07.040000+00:00,"90 km W of San Antonio de los Cobres, Argentina",9.13,7.325,0.171,9.0,2026,7,30,20
2026-07-30 15:49:51.764000+00:00,-24.1705,-66.8885,199.112,4.1,mb,62.0,1.695,1.36,us6000tgzi,2026-08-15 20:53:01.040000+00:00,"58 km W of San Antonio de los Cobres, Argentina",6.81,9.955,0.214,8.0,2026,7,30,15
2026-07-29 10:30:58.633000+00:00,-55.8517,-27.3002,51.137,5.1,mb,57.0,5.508,0.4,us6000tgm6,2026-08-20 10:20:01.040000+00:00,South Sandwich Islands region,10.7,5.946,0.079,51.0,2026,7,29,10
2026-07-29 05:00:26.709000+00:00,-56.9629,-66.8885,10.0,4.5,mb,130.0,3.728,0.93,us6000thtt,2026-09-03 12:56:09.040000+00:00,"255 km SSE of Ushuaia, Argentina",12.68,1.932,0.14,17.0,2026,7,29,5
2026-07-28 14:51:48.841000+00:00,-60.2138,-62.2562,10.0,4.9,mb,122.0,4.652,1.06,us6000tggd,2026-08-21 16:14:53.040000+00:00,Drake Passage,8.02,1.903,0.097,35.0,2026,7,28,14
2026-07-28 01:37:42.195000+00:00,-33.209,-68.8062,35.0,4.0,mwr,46.0,1.128,0.65,us6000tg9q,2026-09-09 03:29:03.040000+00:00,"34 km WSW of San Martín, Argentina",3.7,1.903,0.047,43.0,2026,7,28,1
2026-07-27 03:44:04.662000+00:00,-28.7024,-69.5336,114.785,4.4,mb,59.0,1.444,0.86,us7000t3l4,2026-08-05 02:26:26.040000+00:00,"120 km E of Vallenar, Chile",6.11,7.517,0.13,17.0,2026,7,27,3
2026-07-26 21:44:08.200000+00:00,-24.4019,-67.3585,175.13,4.3,mb,75.0,1.627,0.52,us7000t3ji,2026-08-09 22:21:47.040000+00:00,"107 km W of San Antonio de los Cobres, Argentina",10.17,9.857,0.153,12.0,2026,7,26,21
2026-07-26 21:01:36.139000+00:00,-55.4872,-29.7725,10.0,4.5,mb,102.0,4.061,0.78,us6000th0l,2026-08-20 00:14:15.040000+00:00,South Sandwich Islands region,13.07,1.934,0.139,15.0,2026,7,26,21
2026-07-26 17:29:13.610000+00:00,-27.9949,-66.6801,156.081,4.6,mb,45.0,3.32,0.72,us7000t3ia,2026-08-09 19:53:22.040000+00:00,"54 km SE of Londres, Argentina",7.81,7.438,0.096,32.0,2026,7,26,17
2026-07-26 13:36:17.454000+00:00,-23.8046,-66.7317,198.68,4.4,mb,59.0,1.577,0.97,us7000t3h2,2026-08-09 18:06:07.040000+00:00,"62 km NW of San Antonio de los Cobres, Argentina",6.32,7.523,0.069,61.0,2026,7,26,13
2026-07-25 21:02:02.751000+00:00,-56.0708,-27.4146,58.934,4.6,mb,115.0,5.499,0.62,us6000tgz7,2026-08-17 22:22:21.040000+00:00,South Sandwich Islands region,14.02,7.613,0.109,25.0,2026,7,25,21
2026-07-24 23:10:30.109000+00:00,-57.2869,-66.8148,10.0,5.4,mww,99.0,2.404,0.9,us7000t387,2026-08-27 22:31:08.466000+00:00,"291 km SSE of Ushuaia, Argentina",7.87,1.043,0.098,10.0,2026,7,24,23
2026-07-24 19:38:41.905000+00:00,-23.9617,-66.6441,189.718,5.3,mww,26.0,1.731,0.72,us7000t36n,2026-08-29 17:02:41.040000+00:00,"43 km NW of San Antonio de los Cobres, Argentina",19.25,8.057,0.045,47.0,2026,7,24,19
2026-07-24 15:34:32.319000+00:00,-27.2939,-67.8151,10.0,4.8,mb,39.0,2.26,1.14,us7000t33w,2026-08-06 20:54:37.040000+00:00,"46 km NNW of Fiambalá, Argentina",6.85,1.828,0.101,30.0,2026,7,24,15
2026-07-24 00:37:03.351000+00:00,-58.6939,-25.1649,35.0,4.9,mb,69.0,19.892,0.84,us7000t2ws,2026-08-10 04:15:48.040000+00:00,South Sandwich Islands region,12.6,1.886,0.086,45.0,2026,7,24,0
2026-07-22 00:28:03.798000+00:00,-59.4156,-30.183,10.0,4.5,mb,100.0,17.467,0.62,us6000tgdg,2026-08-13 01:52:20.040000+00:00,South Sandwich Islands region,9.39,1.913,0.118,21.0,2026,7,22,0
2026-07-21 17:21:06.533000+00:00,-57.2232,-66.7487,10.0,4.6,mb,127.0,2.349,0.73,us7000t29r,2026-08-05 15:13:40.040000+00:00,"285 km SSE of Ushuaia, Argentina",8.32,1.775,0.1,30.0,2026,7,21,17
2026-07-21 14:55:26.180000+00:00,-27.5174,-67.5102,167.796,4.3,mb,63.0,2.533,0.79,us7000t26m,2026-08-25 17:33:43.040000+00:00,"20 km NNE of Fiambalá, Argentina",8.16,11.144,0.168,10.0,2026,7,21,14
2026-07-19 23:08:29.284000+00:00,-24.0959,-67.1,206.176,4.3,mb,97.0,1.509,0.82,us7000t1uw,2026-08-13 00:09:26.040000+00:00,"80 km W of San Antonio de los Cobres, Argentina",8.8,7.052,0.142,14.0,2026,7,19,23
2026-07-19 09:22:22.673000+00:00,-60.1443,-28.5712,180.517,4.2,mb,104.0,18.436,0.66,us7000t32b,2026-08-11 12:55:37.040000+00:00,South Sandwich Islands region,14.99,9.346,0.096,30.0,2026,7,19,9
2026-07-18 19:50:36.924000+00:00,-60.7685,-51.0826,10.0,5.5,mww,64.0,7.172,0.96,us7000t1ng,2026-08-28 14:52:31.652000+00:00,Scotia Sea,4.11,1.854,0.066,22.0,2026,7,18,19
2026-07-18 18:37:32.471000+00:00,-57.0819,-25.1013,10.0,4.4,mb,69.0,7.021,0.46,us7000t2z4,2026-08-03 13:24:42.040000+00:00,South Sandwich Islands region,11.63,1.91,0.103,27.0,2026,7,18,18
2026-07-18 16:57:33.942000+00:00,-59.4203,-26.2144,120.923,4.7,mb,65.0,7.625,0.7,us7000t1n0,2026-08-13 18:59:05.040000+00:00,South Sandwich Islands region,9.66,4.116,0.078,54.0,2026,7,18,16
2026-07-17 22:35:27.907000+00:00,-24.1633,-66.8773,191.452,4.5,mb,78.0,1.697,0.96,us7000t1hg,2026-08-08 04:50:04.040000+00:00,"57 km W of San Antonio de los Cobres, Argentina",8.36,6.797,0.22,6.0,2026,7,17,22
2026-07-17 18:24:01.213000+00:00,-59.6819,-26.3188,47.485,4.6,mb,90.0,7.749,0.59,us7000t2r5,2026-07-26 14:56:14.040000+00:00,South Sandwich Islands region,11.4,5.3,0.095,33.0,2026,7,17,18
2026-07-17 16:20:56.178000+00:00,-58.3233,-25.5026,74.557,4.7,mb,69.0,7.327,0.88,us7000t2qm,2026-08-01 18:46:18.040000+00:00,South Sandwich Islands region,12.38,7.039,0.127,20.0,2026,7,17,16
2026-07-17 11:21:42.146000+00:00,-59.6493,-26.4387,122.82,4.4,mb,99.0,7.681,0.81,us7000t2px,2026-08-11 06:32:35.040000+00:00,South Sandwich Islands region,13.65,7.717,0.098,30.0,2026,7,17,11
2026-07-17 10:32:56.729000+00:00,-57.7504,-25.5833,35.0,4.4,mb,131.0,7.029,0.48,us7000t2pv,2026-08-14 12:19:38.040000+00:00,South Sandwich Islands region,15.98,1.944,0.162,11.0,2026,7,17,10
2026-07-15 23:57:32.577000+00:00,-55.499,-28.9201,67.962,4.5,mb,117.0,4.536,1.0,us7000t281,2026-09-16 18:07:11.040000+00:00,South Sandwich Islands region,13.79,6.195,0.171,10.0,2026,7,15,23
2026-07-15 15:36:04.947000+00:00,-59.4929,-26.2761,126.637,4.8,mb,79.0,7.646,0.57,us7000t0nx,2026-07-28 16:04:57.040000+00:00,South Sandwich Islands region,13.51,5.921,0.085,43.0,2026,7,15,15
2026-07-15 00:35:28.660000+00:00,-58.7983,-29.3555,10.0,5.1,mb,43.0,6.001,0.74,us7000t0ia,2026-08-03 23:26:38.040000+00:00,South Sandwich Islands region,11.13,1.766,0.069,68.0,2026,7,15,0
2026-07-13 17:45:20.210000+00:00,-58.5651,-25.1237,35.0,4.9,mb,69.0,7.619,0.76,us7000t04b,2026-07-24 21:00:09.040000+00:00,South Sandwich Islands region,12.04,1.926,0.087,41.0,2026,7,13,17
2026-07-13 11:05:35.543000+00:00,-60.1462,-25.0874,10.0,4.2,mb,171.0,8.524,0.54,us7000t1d0,2026-07-27 13:13:29.040000+00:00,South Sandwich Islands region,9.59,1.926,0.11,23.0,2026,7,13,11
2026-07-13 04:17:29.294000+00:00,-60.3515,-27.5759,78.864,4.2,mb,107.0,7.758,0.7,us7000t1cr,2026-07-31 03:32:52.040000+00:00,South Sandwich Islands region,13.99,9.033,0.141,14.0,2026,7,13,4
2026-07-13 01:12:06.994000+00:00,-23.9747,-66.7871,192.45,4.5,mb,74.0,1.634,1.09,us7000szyu,2026-07-24 05:23:04.040000+00:00,"54 km WNW of San Antonio de los Cobres, Argentina",8.4,6.997,0.07,60.0,2026,7,13,1
2026-07-12 15:15:52.800000+00:00,-55.6539,-27.1285,10.0,4.6,mb,75.0,5.564,1.17,us7000szw8,2026-08-13 14:05:31.040000+00:00,South Sandwich Islands region,8.74,1.782,0.105,28.0,2026,7,12,15
2026-07-11 10:26:42.630000+00:00,-55.5349,-28.9109,26.0,6.4,mww,57.0,4.549,0.79,us7000szpb,2026-07-25 11:14:19.914000+00:00,South Sandwich Islands region,10.06,1.882,0.057,30.0,2026,7,11,10
2026-07-11 06:52:29.453000+00:00,-59.5703,-26.5035,121.758,5.4,mb,30.0,7.605,0.63,us7000sznc,2026-07-28 10:39:31.502000+00:00,South Sandwich Islands region,10.78,3.912,0.053,120.0,2026,7,11,6
2026-07-08 12:49:40.465000+00:00,-54.7282,-28.8767,10.0,4.6,mb,98.0,4.459,0.69,us7000t0q1,2026-09-19 21:50:37.040000+00:00,South Sandwich Islands region,14.21,1.875,0.141,15.0,2026,7,8,12
2026-07-07 17:39:56.071000+00:00,-57.3715,-66.9761,10.0,4.9,mb,120.0,2.473,0.81,us6000tar3,2026-09-19 21:50:30.040000+00:00,"297 km SSE of Ushuaia, Argentina",12.75,1.833,0.084,45.0,2026,7,7,17
2026-07-07 01:26:45.506000+00:00,-57.3252,-66.6796,10.0,5.7,mww,71.0,4.783,0.69,us6000takd,2026-09-19 21:50:30.040000+00:00,"297 km SSE of Ushuaia, Argentina",8.64,1.718,0.056,31.0,2026,7,7,1
2026-07-06 08:56:01.774000+00:00,-31.8064,-68.2594,116.786,4.1,mb,80.0,0.436,0.82,us6000tadk,2026-09-19 21:50:29.040000+00:00,"17 km S of Caucete, Argentina",3.02,8.945,0.166,10.0,2026,7,6,8
2026-07-06 08:13:40.769000+00:00,-23.7872,-67.2037,218.647,4.1,mb,187.0,1.222,0.87,us6000tadd,2026-09-19 21:50:29.040000+00:00,"101 km WNW of San Antonio de los Cobres, Argentina",5.36,7.757,0.174,9.0,2026,7,6,8
2026-07-04 07:13:28.079000+00:00,-58.0218,-25.6925,101.894,4.6,mb,134.0,7.096,0.75,us7000szew,2026-09-19 21:50:33.040000+00:00,South Sandwich Islands region,13.92,8.035,0.079,48.0,2026,7,4,7
2026-07-03 16:03:52.289000+00:00,-28.2464,-69.0428,95.314,4.5,mb,72.0,1.644,1.02,us6000t9uw,2026-09-19 21:50:26.040000+00:00,"99 km NW of Vinchina, Argentina",4.91,9.004,0.242,5.0,2026,7,3,16
2026-07-03 01:53:45.626000+00:00,-56.0189,-27.538,71.169,4.5,mb,112.0,5.419,0.38,us7000sz6b,2026-09-19 21:50:32.040000+00:00,South Sandwich Islands region,14.96,8.258,0.131,17.0,2026,7,3,1
2026-07-03 01:49:59.809000+00:00,-55.9479,-27.4041,72.808,4.6,mb,111.0,5.474,0.47,us6000t9qz,2026-09-19 21:50:25.040000+00:00,South Sandwich Islands region,13.0,7.348,0.109,25.0,2026,7,3,1
2026-07-02 02:17:57.513000+00:00,-59.4976,-26.2714,103.692,5.0,mb,78.0,7.651,0.65,us6000t9jm,2026-09-19 21:50:24.040000+00:00,South Sandwich Islands region,11.01,5.776,0.08,50.0,2026,7,2,2
2026-07-01 04:34:13.476000+00:00,-30.6625,-64.4552,10.0,4.4,mb,63.0,1.62,0.79,us6000t9c5,2026-09-15 23:41:31.040000+00:00,"22 km NNE of Capilla del Monte, Argentina",7.47,1.89,0.149,13.0,2026,7,1,4
2026-06-30 15:15:19.596000+00:00,-56.0742,-27.0754,82.104,4.9,mb,57.0,5.684,0.72,us6000t97h,2026-09-15 23:41:25.040000+00:00,South Sandwich Islands region,10.59,2.086,0.076,54.0,2026,6,30,15
2026-06-30 01:33:15.838000+00:00,-55.5258,-27.0584,10.0,4.6,mb,113.0,5.581,0.37,us6000tap5,2026-09-15 23:41:19.040000+00:00,South Sandwich Islands region,9.48,1.825,0.136,16.0,2026,6,30,1
2026-06-30 00:15:12.082000+00:00,-55.446,-27.0657,35.0,5.1,mb,58.0,5.565,0.82,us6000t93x,2026-09-15 23:41:17.040000+00:00,South Sandwich Islands region,10.8,1.846,0.074,59.0,2026,6,30,0
2026-06-28 22:14:23.262000+00:00,-55.1997,-25.6449,10.0,4.7,mb,104.0,6.347,0.51,us6000tah6,2026-09-15 23:41:06.040000+00:00,South Sandwich Islands region,14.18,1.953,0.147,14.0,2026,6,28,22
2026-06-28 17:34:17.055000+00:00,-22.7961,-66.2449,252.392,4.5,mb,74.0,1.79,0.98,us6000t8ua,2026-09-15 23:41:03.040000+00:00,"56 km W of Abra Pampa, Argentina",8.53,7.81,0.062,78.0,2026,6,28,17
2026-06-28 11:26:25.647000+00:00,-24.0525,-66.8892,206.787,4.2,mb,86.0,1.613,0.5,us6000t8t9,2026-09-15 23:41:01.040000+00:00,"60 km WNW of San Antonio de los Cobres, Argentina",8.79,3.626,0.121,19.0,2026,6,28,11
2026-06-28 03:12:06.458000+00:00,-31.5297,-67.9775,114.526,4.4,mb,74.0,0.592,1.08,us6000t8s8,2026-09-15 23:40:57.040000+00:00,"31 km ENE of Caucete, Argentina",5.9,5.818,0.161,11.0,2026,6,28,3
